YEAR,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region
2000,19.75,-999.0,69.72,28.11,3.04,Thanjavur_TN
2001,19.44,-999.0,69.94,28.25,2.99,Thanjavur_TN
2002,19.84,-999.0,68.35,28.59,3.05,Thanjavur_TN
2003,19.51,-999.0,70.26,28.35,2.98,Thanjavur_TN
2004,19.45,-999.0,73.02,27.62,2.99,Thanjavur_TN
2005,19.47,-999.0,72.24,28.16,2.93,Thanjavur_TN
2006,19.69,-999.0,71.66,27.94,3.0,Thanjavur_TN
2007,19.71,-999.0,70.19,28.07,2.85,Thanjavur_TN
2008,19.66,-999.0,73.44,27.56,2.76,Thanjavur_TN
2009,19.99,-999.0,68.63,28.45,2.98,Thanjavur_TN
2010,19.27,-999.0,73.7,27.98,2.7,Thanjavur_TN
2011,19.54,-999.0,71.35,27.92,2.97,Thanjavur_TN
2012,19.99,-999.0,70.06,28.23,2.89,Thanjavur_TN
2013,19.54,-999.0,68.09,28.56,3.13,Thanjavur_TN
2014,19.17,-999.0,69.06,28.38,3.04,Thanjavur_TN
2015,19.55,-999.0,72.3,28.12,2.8,Thanjavur_TN
2016,20.01,-999.0,68.33,28.62,2.72,Thanjavur_TN
2017,19.28,-999.0,70.1,28.45,2.78,Thanjavur_TN
2018,18.9,-999.0,71.17,28.1,2.93,Thanjavur_TN
2019,19.57,-999.0,70.04,28.78,2.87,Thanjavur_TN
2020,19.04,-999.0,72.07,28.31,2.77,Thanjavur_TN
2021,18.66,-999.0,76.69,27.59,2.63,Thanjavur_TN
2022,18.6,-999.0,75.44,27.7,2.61,Thanjavur_TN
2023,19.14,-999.0,72.0,28.4,2.76,Thanjavur_TN
2024,18.86,-999.0,72.88,28.61,2.84,Thanjavur_TN
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Thanjavur_TN
2000,20.17,-999.0,58.58,26.92,2.77,Raichur_KA
2001,20.16,-999.0,57.06,27.31,2.98,Raichur_KA
2002,20.57,-999.0,57.17,27.58,2.94,Raichur_KA
2003,20.4,-999.0,55.82,27.98,2.94,Raichur_KA
2004,20.62,-999.0,59.24,26.89,2.93,Raichur_KA
2005,19.89,-999.0,64.6,26.4,2.62,Raichur_KA
2006,20.1,-999.0,61.84,26.81,2.85,Raichur_KA
2007,20.18,-999.0,61.52,26.71,2.76,Raichur_KA
2008,20.13,-999.0,60.98,26.7,2.8,Raichur_KA
2009,20.16,-999.0,58.27,27.54,2.9,Raichur_KA
2010,19.35,-999.0,61.25,27.58,2.77,Raichur_KA
2011,20.27,-999.0,54.54,27.72,3.1,Raichur_KA
2012,20.23,-999.0,54.43,27.74,3.0,Raichur_KA
2013,19.57,-999.0,60.14,27.05,3.11,Raichur_KA
2014,19.73,-999.0,59.36,27.1,2.84,Raichur_KA
2015,20.35,-999.0,56.24,27.64,2.91,Raichur_KA
2016,19.61,-999.0,55.76,27.53,2.83,Raichur_KA
2017,19.93,-999.0,56.65,27.38,2.56,Raichur_KA
2018,19.36,-999.0,50.46,28.06,2.87,Raichur_KA
2019,19.46,-999.0,57.01,28.15,2.91,Raichur_KA
2020,19.14,-999.0,64.4,27.19,2.66,Raichur_KA
2021,18.66,-999.0,62.1,27.23,2.83,Raichur_KA
2022,18.58,-999.0,62.55,27.21,2.65,Raichur_KA
2023,19.52,-999.0,55.47,28.13,2.91,Raichur_KA
2024,18.45,-999.0,61.33,28.01,2.9,Raichur_KA
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Raichur_KA
2000,19.88,-999.0,41.54,26.25,2.66,Indore_MP
2001,19.48,-999.0,43.95,26.48,2.61,Indore_MP
2002,19.56,-999.0,44.69,26.54,2.82,Indore_MP
2003,19.28,-999.0,54.19,25.79,2.67,Indore_MP
2004,19.52,-999.0,50.31,26.16,2.6,Indore_MP
2005,19.6,-999.0,47.53,26.02,2.59,Indore_MP
2006,18.88,-999.0,53.49,26.07,2.51,Indore_MP
2007,19.34,-999.0,51.03,26.12,2.42,Indore_MP
2008,18.93,-999.0,46.69,26.19,2.62,Indore_MP
2009,19.46,-999.0,51.38,26.61,2.64,Indore_MP
2010,19.15,-999.0,55.39,26.43,2.47,Indore_MP
2011,18.75,-999.0,51.55,25.89,2.52,Indore_MP
2012,18.75,-999.0,49.15,25.68,2.79,Indore_MP
2013,17.56,-999.0,56.71,25.22,2.7,Indore_MP
2014,18.88,-999.0,52.21,26.05,2.72,Indore_MP
2015,18.39,-999.0,52.3,25.99,2.61,Indore_MP
2016,18.77,-999.0,50.95,25.95,2.57,Indore_MP
2017,18.78,-999.0,50.27,26.01,2.52,Indore_MP
2018,18.37,-999.0,45.77,26.38,2.55,Indore_MP
2019,17.95,-999.0,56.33,25.55,2.64,Indore_MP
2020,18.45,-999.0,59.05,25.31,2.28,Indore_MP
2021,17.42,-999.0,57.07,25.74,2.52,Indore_MP
2022,18.32,-999.0,58.34,25.47,2.56,Indore_MP
2023,17.6,-999.0,57.18,25.32,2.58,Indore_MP
2024,17.33,-999.0,57.8,25.88,2.37,Indore_MP
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Indore_MP
2000,20.93,-999.0,38.9,28.31,2.52,Ahmedabad_GJ
2001,20.34,-999.0,39.96,28.07,2.52,Ahmedabad_GJ
2002,20.38,-999.0,37.53,28.64,2.59,Ahmedabad_GJ
2003,20.06,-999.0,48.97,27.32,2.46,Ahmedabad_GJ
2004,20.13,-999.0,47.63,27.7,2.38,Ahmedabad_GJ
2005,20.37,-999.0,49.27,26.81,2.27,Ahmedabad_GJ
2006,19.73,-999.0,52.6,27.3,2.31,Ahmedabad_GJ
2007,20.35,-999.0,52.63,27.27,2.3,Ahmedabad_GJ
2008,19.68,-999.0,47.0,27.35,2.46,Ahmedabad_GJ
2009,20.65,-999.0,44.87,28.45,2.4,Ahmedabad_GJ
