-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  29.6857   Longitude 76.9905 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 237.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,11.44,15.97,21.15,24.62,23.95,20.93,18.97,20.91,20.77,18.07,14.0,12.31,18.59
ALLSKY_SFC_SW_DWN,2001,11.78,17.28,20.54,23.42,23.55,21.58,19.92,21.26,21.08,16.23,14.4,11.5,18.54
ALLSKY_SFC_SW_DWN,2002,11.72,15.29,21.21,23.39,24.76,23.08,20.84,18.32,18.32,17.15,14.14,11.57,18.33
ALLSKY_SFC_SW_DWN,2003,9.39,15.27,19.97,24.32,25.15,21.0,18.47,19.15,18.3,18.18,14.11,9.29,17.72
ALLSKY_SFC_SW_DWN,2004,9.86,17.65,22.26,21.89,25.0,21.98,21.43,18.84,20.32,15.69,13.55,10.83,18.26
ALLSKY_SFC_SW_DWN,2005,11.68,14.41,19.49,23.4,24.91,23.14,19.29,21.2,17.07,17.67,14.57,12.25,18.27
ALLSKY_SFC_SW_DWN,2006,12.67,16.23,19.39,23.2,23.8,22.02,19.14,21.67,19.98,17.02,12.99,11.01,18.26
ALLSKY_SFC_SW_DWN,2007,12.93,13.45,20.33,24.8,24.07,22.26,20.51,19.53,18.7,18.54,13.32,11.68,18.37
ALLSKY_SFC_SW_DWN,2008,12.33,16.01,20.41,23.79,21.82,18.71,19.75,18.77,19.72,16.16,13.75,11.06,17.69
ALLSKY_SFC_SW_DWN,2009,11.52,16.91,20.47,24.42,24.91,25.71,20.37,20.23,18.66,17.77,12.63,11.57,18.76
