-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  40.12   Longitude -87.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 235.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,7.24,9.93,14.0,16.93,16.96,21.06,21.99,20.19,15.74,11.93,6.85,6.16,14.09
ALLSKY_SFC_SW_DWN,2001,7.27,9.04,13.82,18.29,18.79,22.13,22.81,19.76,17.12,10.41,8.2,6.25,14.52
ALLSKY_SFC_SW_DWN,2002,7.37,10.02,11.99,16.01,19.7,21.95,23.68,19.82,17.3,10.99,7.19,5.79,14.34
ALLSKY_SFC_SW_DWN,2003,7.53,9.67,13.69,17.25,18.3,21.77,22.64,20.04,16.93,12.49,6.94,5.69,14.43
ALLSKY_SFC_SW_DWN,2004,6.56,10.86,12.23,19.55,19.03,22.87,21.0,18.92,18.94,10.7,6.63,6.11,14.44
ALLSKY_SFC_SW_DWN,2005,6.09,8.76,13.5,18.17,22.06,22.53,23.3,19.83,16.58,11.42,8.09,5.36,14.67
ALLSKY_SFC_SW_DWN,2006,5.86,11.55,12.36,18.27,20.11,22.85,21.94,17.85,14.0,11.42,6.73,5.65,14.05
ALLSKY_SFC_SW_DWN,2007,5.91,9.61,13.37,17.09,20.86,22.62,23.93,19.33,18.11,11.1,8.1,4.75,14.58
ALLSKY_SFC_SW_DWN,2008,6.91,9.07,12.38,17.19,18.11,22.86,23.54,21.43,15.11,12.2,7.47,5.47,14.33
ALLSKY_SFC_SW_DWN,2009,7.01,10.42,14.33,15.62,20.41,21.07,20.73,18.85,15.78,8.55,7.61,4.49,13.75
ALLSKY_SFC_SW_DWN,2010,6.18,10.23,13.35,19.17,19.25,22.75,22.79,21.45,16.8,13.46,8.17,5.66,14.96
ALLSKY_SFC_SW_DWN,2011,5.96,9.76,13.48,14.43,17.15,21.14,23.27,21.62,14.35,12.54,7.07,5.31,13.87
ALLSKY_SFC_SW_DWN,2012,6.74,9.63,15.27,18.75,23.7,25.8,23.11,21.0,16.39,10.91,8.76,4.93,15.42
ALLSKY_SFC_SW_DWN,2013,7.28,8.54,12.32,16.38,18.49,21.57,20.99,20.4,17.33,10.82,7.87,5.01,13.94
ALLSKY_SFC_SW_DWN,2014,6.55,10.8,13.2,17.88,20.88,22.51,22.82,17.33,16.54,10.17,6.42,4.36,14.13
ALLSKY_SFC_SW_DWN,2015,6.9,11.17,14.63,18.24,19.4,20.03,20.42,20.51,16.63,11.98,8.34,4.49,14.41
ALLSKY_SFC_SW_DWN,2016,7.02,9.41,12.99,16.77,20.17,24.6,21.17,19.57,16.54,10.83,8.14,5.63,14.41
ALLSKY_SFC_SW_DWN,2017,4.78,10.45,12.9,16.7,20.21,25.3,23.15,20.61,17.7,10.49,7.42,6.38,14.69
