country,year,yield_tpha,crop
India,1961,0.9567001,maize
India,1962,0.9922001,maize
India,1963,0.9954001,maize
India,1964,1.01,maize
India,1965,1.005,maize
India,1966,0.96450007,maize
India,1967,1.1228001,maize
India,1968,0.99740005,maize
India,1969,0.9679001,maize
India,1970,1.2791001,maize
India,1971,0.8999001,maize
India,1972,1.0943002,maize
India,1973,0.96480006,maize
India,1974,0.94810003,maize
India,1975,1.2031001,maize
India,1976,1.0601001,maize
India,1977,1.0511,maize
India,1978,1.0762,maize
India,1979,0.9794001,maize
India,1980,1.1586,maize
India,1981,1.1622,maize
India,1982,1.1448001,maize
India,1983,1.3521,maize
India,1984,1.4556,maize
India,1985,1.146,maize
India,1986,1.2819,maize
India,1987,1.0288001,maize
India,1988,1.3955001,maize
India,1989,1.6316,maize
India,1990,1.5178001,maize
India,1991,1.3763001,maize
India,1992,1.6758001,maize
India,1993,1.6015,maize
India,1994,1.4480001,maize
India,1995,1.5946001,maize
India,1996,1.7094,maize
India,1997,1.7111001,maize
India,1998,1.7969002,maize
India,1999,1.7922001,maize
India,2000,1.8216001,maize
India,2001,1.9996,maize
India,2002,1.6807001,maize
India,2003,2.0405002,maize
India,2004,1.9073001,maize
India,2005,1.9385,maize
India,2006,1.9125001,maize
India,2007,2.3352,maize
India,2008,2.414,maize
India,2009,2.0238001,maize
India,2010,2.5401003,maize
India,2011,2.4784,maize
India,2012,2.5557,maize
India,2013,2.5726001,maize
India,2014,2.5726001,maize
India,2015,2.6107001,maize
India,2016,2.5972002,maize
India,2017,2.6886003,maize
India,2018,3.0653002,maize
India,2019,3.0702002,maize
India,2020,3.0061002,maize
India,2021,3.1993003,maize
India,2022,3.3872,maize
India,2023,3.5449002,maize
India,1961,0.8507001,wheat
India,1962,0.88960004,wheat
India,1963,0.7929001,wheat
India,1964,0.72990006,wheat
India,1965,0.9132001,wheat
India,1966,0.82680005,wheat
India,1967,0.8874001,wheat
India,1968,1.1028001,wheat
India,1969,1.1688001,wheat
India,1970,1.2086,wheat
India,1971,1.3066001,wheat
India,1972,1.3799001,wheat
India,1973,1.2708001,wheat
India,1974,1.1719,wheat
India,1975,1.3384001,wheat
India,1976,1.4103001,wheat
India,1977,1.3866,wheat
India,1978,1.4798001,wheat
India,1979,1.5683001,wheat
India,1980,1.4356,wheat
India,1981,1.6299001,wheat
India,1982,1.6913002,wheat
India,1983,1.8158002,wheat
India,1984,1.8432001,wheat
India,1985,1.8701,wheat
India,1986,2.046,wheat
India,1987,1.9162,wheat
India,1988,2.0019002,wheat
India,1989,2.2444,wheat
India,1990,2.1211002,wheat
India,1991,2.2814,wheat
India,1992,2.394,wheat
India,1993,2.3267,wheat
India,1994,2.3796003,wheat
India,1995,2.559,wheat
India,1996,2.4828002,wheat
India,1997,2.6789,wheat
India,1998,2.4852002,wheat
India,1999,2.5901003,wheat
India,2000,2.7785,wheat
