year,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region,ndvi_mean,crop,yield
2000,20.93,-999.0,38.9,28.31,2.52,Ahmedabad_GJ,0.2630134333722693,maize,1.730520095
2001,20.34,-999.0,39.96,28.07,2.52,Ahmedabad_GJ,0.2676796703403358,maize,1.89962
2002,20.38,-999.0,37.53,28.64,2.59,Ahmedabad_GJ,0.2562444391966846,maize,1.596665095
2003,20.06,-999.0,48.97,27.32,2.46,Ahmedabad_GJ,0.2626365890072128,maize,1.93847519
2004,20.13,-999.0,47.63,27.7,2.38,Ahmedabad_GJ,0.2555502113653239,maize,1.811935095
2005,20.37,-999.0,49.27,26.81,2.27,Ahmedabad_GJ,0.2650150688325483,maize,1.841575
2006,19.73,-999.0,52.6,27.3,2.31,Ahmedabad_GJ,0.2628847445668619,maize,1.816875095
2007,20.35,-999.0,52.63,27.27,2.3,Ahmedabad_GJ,0.2692060501686968,maize,2.21844
2008,19.68,-999.0,47.0,27.35,2.46,Ahmedabad_GJ,0.2543216422933916,maize,2.2933
2009,20.65,-999.0,44.87,28.45,2.4,Ahmedabad_GJ,0.2560498600557164,maize,1.922610095
2010,20.07,-999.0,54.22,27.65,2.34,Ahmedabad_GJ,0.2559843668491995,maize,2.4130952850000003
2011,19.83,-999.0,50.81,27.33,2.46,Ahmedabad_GJ,0.2516246759084763,maize,2.35448
2012,19.87,-999.0,45.45,27.41,2.63,Ahmedabad_GJ,0.2453446856882656,maize,2.427915
2013,19.47,-999.0,53.43,26.68,2.39,Ahmedabad_GJ,0.2666645431486659,maize,2.443970095
2014,20.25,-999.0,48.89,27.49,2.37,Ahmedabad_GJ,0.2682141411184013,maize,2.443970095
2015,19.8,-999.0,45.93,28.0,2.44,Ahmedabad_GJ,0.2532695697039827,maize,2.480165095
2016,19.79,-999.0,45.4,28.09,2.37,Ahmedabad_GJ,0.2446101682407306,maize,2.46734019
2017,19.35,-999.0,48.49,27.49,2.37,Ahmedabad_GJ,0.2530446491168325,maize,2.554170285
2018,19.23,-999.0,41.54,28.36,2.37,Ahmedabad_GJ,0.238858756457982,maize,2.91203519
2019,18.98,-999.0,55.15,27.13,2.48,Ahmedabad_GJ,0.2551988348006525,maize,2.91669019
2020,19.54,-999.0,56.59,26.81,2.26,Ahmedabad_GJ,0.2810310518378093,maize,2.85579519
2021,18.81,-999.0,52.08,27.58,2.44,Ahmedabad_GJ,0.2682797037664805,maize,3.039335285
2022,19.59,-999.0,52.11,27.47,2.41,Ahmedabad_GJ,0.2603045210849423,maize,3.21784
2023,18.69,-999.0,53.87,27.09,2.33,Ahmedabad_GJ,0.2533172133107699,maize,3.36765519
2000,20.93,-999.0,38.9,28.31,2.52,Ahmedabad_GJ,0.2630134333722693,wheat,2.639575
2001,20.34,-999.0,39.96,28.07,2.52,Ahmedabad_GJ,0.2676796703403358,wheat,2.572695285
2002,20.38,-999.0,37.53,28.64,2.59,Ahmedabad_GJ,0.2562444391966846,wheat,2.62399519
2003,20.06,-999.0,48.97,27.32,2.46,Ahmedabad_GJ,0.2626365890072128,wheat,2.479500095
2004,20.13,-999.0,47.63,27.7,2.38,Ahmedabad_GJ,0.2555502113653239,wheat,2.57754
2005,20.37,-999.0,49.27,26.81,2.27,Ahmedabad_GJ,0.2650150688325483,wheat,2.47152019
2006,19.73,-999.0,52.6,27.3,2.31,Ahmedabad_GJ,0.2628847445668619,wheat,2.48786019
2007,20.35,-999.0,52.63,27.27,2.3,Ahmedabad_GJ,0.2692060501686968,wheat,2.572505
2008,19.68,-999.0,47.0,27.35,2.46,Ahmedabad_GJ,0.2543216422933916,wheat,2.66209
2009,20.65,-999.0,44.87,28.45,2.4,Ahmedabad_GJ,0.2560498600557164,wheat,2.76174519
2010,20.07,-999.0,54.22,27.65,2.34,Ahmedabad_GJ,0.2559843668491995,wheat,2.69752519
2011,19.83,-999.0,50.81,27.33,2.46,Ahmedabad_GJ,0.2516246759084763,wheat,2.839170285
2012,19.87,-999.0,45.45,27.41,2.63,Ahmedabad_GJ,0.2453446856882656,wheat,3.01862519
2013,19.47,-999.0,53.43,26.68,2.39,Ahmedabad_GJ,0.2666645431486659,wheat,2.99611019
2014,20.25,-999.0,48.89,27.49,2.37,Ahmedabad_GJ,0.2682141411184013,wheat,2.98841519
2015,19.8,-999.0,45.93,28.0,2.44,Ahmedabad_GJ,0.2532695697039827,wheat,2.61212019
2016,19.79,-999.0,45.4,28.09,2.37,Ahmedabad_GJ,0.2446101682407306,wheat,2.882205
2017,19.35,-999.0,48.49,27.49,2.37,Ahmedabad_GJ,0.2530446491168325,wheat,3.03990519
2018,19.23,-999.0,41.54,28.36,2.37,Ahmedabad_GJ,0.238858756457982,wheat,3.19979
2019,18.98,-999.0,55.15,27.13,2.48,Ahmedabad_GJ,0.2551988348006525,wheat,3.35673
2020,19.54,-999.0,56.59,26.81,2.26,Ahmedabad_GJ,0.2810310518378093,wheat,3.267810285
2021,18.81,-999.0,52.08,27.58,2.44,Ahmedabad_GJ,0.2682797037664805,wheat,3.34476
2022,19.59,-999.0,52.11,27.47,2.41,Ahmedabad_GJ,0.2603045210849423,wheat,3.360435
2023,18.69,-999.0,53.87,27.09,2.33,Ahmedabad_GJ,0.2533172133107699,wheat,3.34466519
2000,14.09,-999.0,76.14,10.64,3.09,Champaign_IL,0.4412185568614055,maize,9.8810208
2001,14.52,-999.0,76.67,11.51,3.03,Champaign_IL,0.4033366324555651,maize,9.97485045
2002,14.34,-999.0,79.09,11.13,3.1,Champaign_IL,0.4248733138629492,maize,9.33247655
2003,14.43,-999.0,78.47,10.38,3.08,Champaign_IL,0.4094964934408813,maize,10.26355795
2004,14.44,-999.0,80.38,10.86,3.14,Champaign_IL,0.4215562651210449,maize,11.5699614
2005,14.67,-999.0,78.52,11.34,2.91,Champaign_IL,0.4003296403526348,maize,10.67496585
2006,14.05,-999.0,79.88,11.46,3.04,Champaign_IL,0.4324821083794945,maize,10.7615804
2007,14.58,-999.0,77.9,11.58,3.05,Champaign_IL,0.4191010594239766,maize,10.87706225
2008,14.33,-999.0,81.13,10.0,3.23,Champaign_IL,0.4096903222890033,maize,11.0647227
2009,13.75,-999.0,81.3,10.34,3.05,Champaign_IL,0.4146870646872841,maize,11.865886299999998
2010,14.96,-999.0,78.55,11.31,2.94,Champaign_IL,0.3643215464669547,maize,11.0141986
2011,13.87,-999.0,80.35,11.32,3.1,Champaign_IL,0.4055301348541252,maize,10.5955733
