Entity,Code,Year,Wheat yield
Afghanistan,AFG,1961,1.0220001
Afghanistan,AFG,1962,0.9735001
Afghanistan,AFG,1963,0.8317
Afghanistan,AFG,1964,0.95100003
Afghanistan,AFG,1965,0.97230005
Afghanistan,AFG,1966,0.86660004
Afghanistan,AFG,1967,1.1232
Afghanistan,AFG,1968,1.1562
Afghanistan,AFG,1969,1.1855
Afghanistan,AFG,1970,0.9563
Afghanistan,AFG,1971,0.81490004
Afghanistan,AFG,1972,0.8457
Afghanistan,AFG,1973,1.1739001
Afghanistan,AFG,1974,1.2074001
Afghanistan,AFG,1975,1.2128001
Afghanistan,AFG,1976,1.2494001
Afghanistan,AFG,1977,1.1309
Afghanistan,AFG,1978,1.1980001
Afghanistan,AFG,1979,1.2317001
Afghanistan,AFG,1980,1.2549001
Afghanistan,AFG,1981,1.235
Afghanistan,AFG,1982,1.2299001
Afghanistan,AFG,1983,1.258
Afghanistan,AFG,1984,1.2319001
Afghanistan,AFG,1985,1.2277
Afghanistan,AFG,1986,1.189
Afghanistan,AFG,1987,1.2849001
Afghanistan,AFG,1988,1.1728001
Afghanistan,AFG,1989,1.118
Afghanistan,AFG,1990,1.051
Afghanistan,AFG,1991,1.0213001
Afghanistan,AFG,1992,1.0313001
Afghanistan,AFG,1993,1.0211
Afghanistan,AFG,1994,1.0250001
Afghanistan,AFG,1995,1.0895001
Afghanistan,AFG,1996,1.1220001
Afghanistan,AFG,1997,1.2764001
Afghanistan,AFG,1998,1.2964001
Afghanistan,AFG,1999,1.2329
Afghanistan,AFG,2000,0.72400004
Afghanistan,AFG,2001,0.8977001
Afghanistan,AFG,2002,1.5419
Afghanistan,AFG,2003,1.5000001
Afghanistan,AFG,2004,1.2659001
Afghanistan,AFG,2005,1.8215001
Afghanistan,AFG,2006,1.376
Afghanistan,AFG,2007,1.8183001
Afghanistan,AFG,2008,1.2263001
Afghanistan,AFG,2009,1.9666001
Afghanistan,AFG,2010,1.9252
Afghanistan,AFG,2011,1.5179001
Afghanistan,AFG,2012,2.0104
Afghanistan,AFG,2013,2.0248
Afghanistan,AFG,2014,2.0237
Afghanistan,AFG,2015,2.1959
Afghanistan,AFG,2016,1.9803002
Afghanistan,AFG,2017,2.0342
Afghanistan,AFG,2018,2.21
Afghanistan,AFG,2019,2.0951002
Afghanistan,AFG,2020,1.9434001
Afghanistan,AFG,2021,1.9631001
Afghanistan,AFG,2022,2.0453002
Afghanistan,AFG,2023,2.1467001
Africa,,1961,0.6929824
Africa,,1962,0.9235801
Africa,,1963,0.89896965
Africa,,1964,0.87364256
Africa,,1965,0.8286706
Africa,,1966,0.7604273
Africa,,1967,0.84226596
Africa,,1968,0.992187
Africa,,1969,0.81034726
Africa,,1970,0.87034416
Africa,,1971,0.98275036
Africa,,1972,0.9918382
Africa,,1973,0.94019485
Africa,,1974,0.97112334
Africa,,1975,1.1004364
Africa,,1976,1.117727
Africa,,1977,0.9269387
Africa,,1978,1.0459137
Africa,,1979,1.0458215
Africa,,1980,1.098791
Africa,,1981,1.1340243
Africa,,1982,1.2749557
Africa,,1983,1.1230675
Africa,,1984,1.1438055
Africa,,1985,1.2476212
Africa,,1986,1.4427772
Africa,,1987,1.5012807
Africa,,1988,1.7497356
Africa,,1989,1.4811363
Africa,,1990,1.5981054
Africa,,1991,1.8941562
Africa,,1992,1.6494831
Africa,,1993,1.6275635
Africa,,1994,1.9151169
Africa,,1995,1.6212035
Africa,,1996,2.0284464
Africa,,1997,1.7976098
Africa,,1998,1.8641545
Africa,,1999,1.8099173
Africa,,2000,1.751963
Africa,,2001,2.024544
Africa,,2002,2.1282947
Africa,,2003,2.2131207
Africa,,2004,2.2136872
Africa,,2005,2.1353052
Africa,,2006,2.4582982
Africa,,2007,2.0426788
Africa,,2008,2.288036
Africa,,2009,2.5261984
Africa,,2010,2.3007598
Africa,,2011,2.582712
Africa,,2012,2.3930354
Africa,,2013,2.7918887
Africa,,2014,2.5699294
Africa,,2015,2.8455842
Africa,,2016,2.4474652
Africa,,2017,2.563551
Africa,,2018,2.9320781
Africa,,2019,2.750852
Africa,,2020,2.541726
Africa,,2021,3.2258916
Africa,,2022,2.7290506
Africa,,2023,2.8624275
Africa (FAO),,1961,0.693
Africa (FAO),,1962,0.9236
Africa (FAO),,1963,0.89900005
Africa (FAO),,1964,0.8736
Africa (FAO),,1965,0.82870007
Africa (FAO),,1966,0.76040006
Africa (FAO),,1967,0.84230006
Africa (FAO),,1968,0.9922001
Africa (FAO),,1969,0.81030005
Africa (FAO),,1970,0.87030005
Africa (FAO),,1971,0.9828
Africa (FAO),,1972,0.9918
Africa (FAO),,1973,0.94020003
Africa (FAO),,1974,0.97110003
Africa (FAO),,1975,1.1004001
Africa (FAO),,1976,1.1177
Africa (FAO),,1977,0.9269001
Africa (FAO),,1978,1.0459001
Africa (FAO),,1979,1.0458001
Africa (FAO),,1980,1.0988001
Africa (FAO),,1981,1.1340001
Africa (FAO),,1982,1.2750001
Africa (FAO),,1983,1.1231
Africa (FAO),,1984,1.1438001
Africa (FAO),,1985,1.2476001
Africa (FAO),,1986,1.4428002
Africa (FAO),,1987,1.5013001
Africa (FAO),,1988,1.7497001
Africa (FAO),,1989,1.4811001
Africa (FAO),,1990,1.5981001
Africa (FAO),,1991,1.8942001
Africa (FAO),,1992,1.6495001
Africa (FAO),,1993,1.6276001
Africa (FAO),,1994,1.9151001
Africa (FAO),,1995,1.6212001
Africa (FAO),,1996,2.0284002
Africa (FAO),,1997,1.7976
Africa (FAO),,1998,1.8642
Africa (FAO),,1999,1.8099002
Africa (FAO),,2000,1.7520001
Africa (FAO),,2001,2.0245001
Africa (FAO),,2002,2.1283002
Africa (FAO),,2003,2.2131002
Africa (FAO),,2004,2.2137
Africa (FAO),,2005,2.1353002
Africa (FAO),,2006,2.4583
Africa (FAO),,2007,2.0427
Africa (FAO),,2008,2.288
Africa (FAO),,2009,2.5262
Africa (FAO),,2010,2.3008
Africa (FAO),,2011,2.5827
Africa (FAO),,2012,2.3930001
Africa (FAO),,2013,2.7919
Africa (FAO),,2014,2.5699
Africa (FAO),,2015,2.8456001
Africa (FAO),,2016,2.4475002
Africa (FAO),,2017,2.5636003
Africa (FAO),,2018,2.9321003
Africa (FAO),,2019,2.7509
Africa (FAO),,2020,2.5417001
Africa (FAO),,2021,3.2259002
Africa (FAO),,2022,2.7291002
Africa (FAO),,2023,2.8624
Albania,ALB,1961,0.7731
Albania,ALB,1962,1.0522
Albania,ALB,1963,0.71270007
Albania,ALB,1964,0.96250004
Albania,ALB,1965,1.1344001
Albania,ALB,1966,1.2398001
Albania,ALB,1967,1.355
